ca_sylvanian_archers_1_desc;Because of its backwater nature, Sylvania has little capacity to produce firearms and a population with little ability to procure them. Instead, they hunt and train with the traditional bow and crossbow, and learn to fight using hit and run tactics against the things in the forest that an arrow or bolt cannot bring down.;;;;;;;;;;;;;x
ca_defiled_cairn_1;Defiled Cairn;;;;;;;;;;;;;x
ca_defiled_cairn_2;Defiled Cairn;;;;;;;;;;;;;x
ca_defiled_cairn_3;Defiled Cairn;;;;;;;;;;;;;x
ca_defiled_cairn_4;Defiled Cairn;;;;;;;;;;;;;x
ca_defiled_cairn_1_desc;Deep under the larger cemeteries and Morr's Gardens are cairns and crypts, labyrinthine catacombs where the bodies of noble families, dignitaries and important priests rest in eternal sleep. In Sylvania especially, such places are lost to darker creatures; things that may have once been human, generations ago, but have since devolved into bestial cannibals that feed on the dead.;;;;;;;;;;;;;x
tp_mausoleum_1;Mausoleum;;;;;;;;;;;;;x
tp_mausoleum_2;Mausoleum;;;;;;;;;;;;;x
tp_mausoleum_3;Mausoleum;;;;;;;;;;;;;x
tp_mausoleum_4;Mausoleum;;;;;;;;;;;;;x
tp_mausoleum_1_desc;Once this was a place where the mortal remains of the dead were entrusted to the god Morr. But with the infusion of dark magic it has been corrupted into an unholy place where the dead rise up and serve as puppets to their dark master.;;;;;;;;;;;;;x
#
# DAWI UNIQUE BUILDINGS AND WONDERS
#
wonder_everpeak;Everpeak;;;;;;;;;x
wonder_everpeak_desc;Everpeak, Karaz-a-Karak in the language of the Dwarfs, is the ancient capital of the Dwarf empire, the "Pinnacle of Mountains", the "Most Enduring". It is the oldest and most glorious hold of the mountain folk and inside its halls is the greatest concentration of wealth in the world. Visitors have been awestruck at the magnificent beauty of the place. The most important hold politically and religiously in Dwarf culture, Karaz-a-Karak boasts of the mightiest army, greatest runesmiths and largest population out of all the Dwarf realms. It is from here that the High Kings rule and where the sacred "Great Book of Grudges" and the "Book of Remembering" are kept. It has endured countless ages against all manner of foes but it has never fallen and will endure until the end of time.;;;;;;;;;x
wonder_slayer_keep;Slayer Keep;;;;;;;;;x
wonder_slayer_keep_desc;Karak Kadrin, otherwise known as "Slayer Keep", is a mighty Dwarf hold that has guarded one of the few major passes through World's Edge Mountains, the Peak Pass. For countless centuries this hold has guarded the lands of Kislev and the Empire to west against greenskin threats and worse. The hold is home to the Shrine of Grimnir and is a sacred place for all would-be Slayers. The hold also has a long history of Slayer Kings who have passed down their slayer oath through generations.;;;;;;;;;x
wonder_zhufbar;Torrent Gate;;;;;;;;;x,,;;;;
wonder_zhufbar_desc;Zhufbar, known as the "Torrent-gate" in Khazalid, is a Dwarf hold built nestled in a deep chasm under the lake called Black Water. A huge waterfall that falls high above the city provides the necessary power for the numerous Dwarf machines that have been constructed here. The city is the principle shrine for the Engineers Guild and is a center of every kind of industry. It was here that the famed Gromril metal, which was mined from nearby Karak Varn, was smelted and forged into many famous Dwarf artifacts.;;;;;;;;;x
wonder_iron_peak;Iron Peak;;;;;;;;;x
wonder_iron_peak_desc;Known as "Iron Peak", Karak Azul is built with it's upper portion on a plateau overlooking the valley below, which is unusual compared to other holds. It is also the only southern Dwarf hold that has withstood the greenskin invasions over the centuries but at great cost since today Karak Azul's population is very meagre. However, many famous rune armours and weapons were and still are being made in the hold which has contributed to the continued survival of the hold.;;;;;;;;;x
wonder_karak_vlag;Desolation Hold;;;;;;;;;x
wonder_karak_vlag_desc;Karak Vlag is famed for iron. The hold commands enormous iron ore deposits and is home to gifted blacksmiths, weapon and armor makers, and cannonwrights. The armies of the hold put this equipment to good use securing the High Pass for Dwarfs and decent Men.;;;;;;;;;x
wonder_barak_varr;Sea Gate;;;;;;;;;x
wonder_barak_varr_desc;Barak Varr, Khazalid for "Sea Gate", is a unique Dwarf hold in that it is the only Dwarf seaport in the world and houses the whole Dwarf fleet. Located at the easternmost point of the Black Gulf, the hold is built in a vast water filled cavern, carved into a cliffside which provides a natural defence for the harbour. The mighty Ironclad ships of the Dwarfs as well as numerous merchant vessels from all over the world can be found here as well, sailing in and out of the vast cavern. This hold is among the most friendly to non-Dwarfs and in turn has great revenue from trade.;;;;;;;;;x
wonder_horn_hold;Horn Hold;;;;;;;;;x
wonder_horn_hold_desc;Karak Hirn, or "Horn Hold" in Khazalid, is the largest and wealthiest of the Black Mountain holds. Its name comes from the fact when wind blows in a certain direction, the large cavern within the hold creates a sound reminiscent of a mighty warhorn which is heard for miles around and which the Dwarfs have taken advantage of for many uses.;;;;;;;;;x
wonder_copper_mountain;Copper Mountain;;;;;;;;;x
wonder_copper_mountain_desc;Translated as "Copper Mountain" in Khazalid, Karak Izor has the prestige of being the first and largest Dwarf hold outside the World's Edge Mountains. Located in the Vaults, it has access to the richest metal deposits, ranging from iron to copper and tin, outside the World's Edge Mountains and its influence is such that Dwarf settlements from all across the Vaults, and as far as the Apuccini Mountains, look to Karak Izor for protection and guidance. There is also a miniature version of the Underway being built deep beneath the Vaults which would allow unhindered trade between Dwarf settlements in the region.;;;;;;;;;x
wonder_karak_norn;Barren Earth Hold;;;;;;;;;x
wonder_karak_norn_desc;Known as "Barren Earth Hold" in Khazalid, Karak Norn is the major hold in the Grey Mountains. Its population consists mainly of displaced clans from fallen holds across the Old World. While not being particularly wealthy because of the Grey Mountains' lack of large mineral deposits, Karak Norn does control the vital mountain passes in the southern Grey Mountains. It is also strategically placed on a high plateau above Loren Forest, to keep a close eye on the Wood Elves because of the long distrust the two races have for each other. Karak Norn is also on good terms with its neighbouring human realms and has helped both the Bretonnians and the Empire in the past.;;;;;;;;;x
wonder_karag_dum;Mount Doom;;;;;;;;;;;;;x
wonder_karag_dum_desc;Karag Dum is the greatest of the northern Dwarf fortresses, sunk deep into the mountain stone and guarded by warriors hardened by the constant threat of Chaos raids. For centuries the fiends of the Chaos Wastes have spent their strength on the walls of Mount Doom and had to fall back rather than pass on to attack the realms of Men.;;;;;;;;;;;;;x
wonder_karak_azgal;Hoard Peak;;;;;;;;;;;;;x
wonder_karak_azgal_desc;Karak Azgal was once known as "the City of Jewels" (Karak Izril in the Khazalid tongue) and famed throughout the Eternal Realm for its wealth. But after the fall of Azril Ungol the hold was exposed to attack by the enemies of the dwarfs and was lost in turn. For a time it became the domain of the terrible dragon Graug, until the young Dwarf Skalf Drakendrengi slew the beast and liberated the hold.;;;;;;;;;;;;;x
#NORSE DWARF HOLDS
wonder_kraka_drak;Dragon Hold;;;;;;;;;;;;x
wonder_kraka_drak_desc;Khazalid for Dragon Hold, the Norse Dwarfs of Kraka Drak have done much to earn their fearsome moniker. Said to be even more warlike than their cousins to the south, their entire society revolves around the virtue of war and the honor of battle, a necessary development given their location. This warlike demeanor has ensured their survival, however it has not been without a cost. Owing to their geographical remoteness, the foreignness of their customs, and the heterodox veneration of the ancestor gods as a collection of warrior aspects, they have become an isolated and culturally alien group to the rest of Dwarf-kind.;;;;;;;;;;;;x
wonder_kraka_ornsmotek;Eagle's Peak Hold;;;;;;;;;;;;x
wonder_kraka_ornsmotek_desc;Built over the only proven gold reserves in Norsca, Kraka Ornsmotek needs every ounce of shining wealth its miners can muster. The hold lies in some of the wildest country in the region and its fierce defenders must face regular battles with giants, trolls, and the minions of Chaos.;;;;;;;;;;;;x
wonder_kraka_dorden;Thunder Hold;;;;;;;;;;;;x
wonder_kraka_dorden_desc;The Dwarfs of Kraka Dorden are known as the best hunters of their people. Furs from their prey are sold as far afield as Tilea, brought south by captains brave enough to sail the Kraken Sea and visit Thunder Hold's excellent harbour.;;;;;;;;;;;;x
wonder_kraka_ravnsvake;Raven's Roost Hold;;;;;;;;;;;;x
wonder_kraka_ravnsvake_desc;Kraka Ravnsrake is one of the only sources of Okrinaduraz in the Old World. This beautiful blue-grey stone is much prized by artisans for being both workable and durable.;;;;;;;;;;;;x
#LOST HOLDS
wonder_azril_ungol;Queen of the Silver Depths;;;;;;;;;x
wonder_azril_ungol_desc;Karak Eight Peaks, also known as Vala-Azril-Ungol ("Queen of the Silver Depths" in Khazalid), was one of the greatest Dwarf holds, rivaling even Karaz-a-Karak in size and power. It was located in a great bowl-shaped valley, ringed by eight high peaks. Above the surface, walls encompassed a vast area, but most of the city was built below ground. Below the earth, the city was a made up of courts and plazas with great vaulted ceilings, and further below, the tombs of the Dwarf kings and deep mines. Its fall to a combined Skaven-Night Goblin invasion meant the end of the Dwarf Golden Age. Since then, many a member of Clan Angrund has tried to reclaim their ancestral homeland from the vermin infesting it, unsuccessfully..;;;;;;;;;x
wonder_karak_ungor;Delving Hold;;;;;;;;;x
wonder_karak_ungor_desc;Karak Ungor guarded one of the deepest and most extensive mining complexes in the Worlds Edge Mountains. Its army fought bravely during the War of Vengeance against the Elves, but while the legions of the Stonehammer kings were marching back to their home a great earthquake struck Karak Ungor. New ways under the earth were opened up and a tide of Night Goblins poured into the great hold and swept aside its small garrison. The army of Karak Ungor tried to dislodge the invaders, but had to admit - not defeat, of course! - but that the time for reclaiming their home was yet to come.;;;;;;;;;x
wonder_karak_varn;Lake Hold;;;;;;;;;x
wonder_karak_varn_desc;Karak Varn was once an important mining hold, but the greed of its rulers undermined its foundations - literally. By digging too deep, the dwarfs of Karak Varn opened up their home to catastrophe. An enormous earthquake cracked the stone below and let the Black Water claim the dwarf mines. Simultaneously, the enemies of the dwarfs struck, slaughtering the dazed inhabitants of the hold. Today Karak Varn is home only to monsters.;;;;;;;;;x
wonder_karak_drazh;Black Hold;;;;;;;;;x
wonder_karak_drazh_desc;During the Dwarf Golden Age, Karak Drazh was one of the most important holds. Its vast mines made its people tremendously wealthy and well-armed. But riches and arms could not protect them from the catastrophe to come. Almost five centuries before the time of Sigmar, Karak Drazh was assaulted by an enormous greenskin horde and conquered for the children of Gork and Mork. Some few survivors escaped, leaving the hold to the rule of orcs.;;;;;;;;;x
#
# DAWI BUILDINGS
#
ca_dwarf_keep_1;Dwarf Settlement;;;;;;;;;;;;;x
ca_dwarf_keep_1_desc;Dwarf stone and dwarf arms guard the heart of the fortress.;;;;;;;;;;;;;x
ca_dwarf_keep_2;Dwarf Settlement;;;;;;;;;;;;;x
ca_dwarf_keep_3;Dwarf Settlement;;;;;;;;;;;;;x
ca_dwarf_keep_4;Dwarf Settlement;;;;;;;;;;;;;x
ca_dwarf_keep_5;Dwarf Settlement;;;;;;;;;;;;;x
ca_dwarf_fort_1;Dwarf Stronghold;;;;;;;;;;;;;x
ca_dwarf_fort_1_desc;Dwarf stone and dwarf arms guard the heart of the fortress.;;;;;;;;;;;;;x
ca_dwarf_fort_2;Dwarf Stronghold;;;;;;;;;;;;;x
ca_dwarf_fort_3;Dwarf Stronghold;;;;;;;;;;;;;x
ca_dwarf_fort_4;Dwarf Stronghold;;;;;;;;;;;;;x
ca_dwarf_fort_5;Dwarf Stronghold;;;;;;;;;;;;;x
ca_dwarf_barracks_1;Dwarf Fortifications;;;;;;;;;;;;;x
ca_dwarf_barracks_1_desc;A strong bulwark against the outside world provides the first line of dwarf defences.;;;;;;;;;;;;;x
ca_dwarf_barracks_2;Dwarf Fortifications;;;;;;;;;;;;;x
ca_dwarf_barracks_3;Dwarf Fortifications;;;;;;;;;;;;;x
ca_dwarf_barracks_4;Dwarf Fortifications;;;;;;;;;;;;;x
ca_dwarf_barracks_5;Dwarf Fortifications;;;;;;;;;;;;;x
ca_dwarf_cannon_1;Dwarf Cannon Foundry;;;;;;;;;;;;;x
ca_dwarf_cannon_1_desc;Great smelting furnaces and casting moulds allow for the production of the legendary dwarf cannons.;;;;;;;;;;;;;x
ca_dwarf_cannon_2;Dwarf Cannon Foundry;;;;;;;;;;;;;x
ca_dwarf_cannon_3;Dwarf Cannon Foundry;;;;;;;;;;;;;x
ca_dwarf_cannon_4;Dwarf Cannon Foundry;;;;;;;;;;;;;x
ca_dwarf_cannon_5;Dwarf Cannon Foundry;;;;;;;;;;;;;x
ca_dwarf_workshop_1;Dwarf Workshops;;;;;;;;;;;;;x
ca_dwarf_workshop_1_desc;A manufacturing centre attracts artisans and merchants.;;;;;;;;;;;;;x
ca_dwarf_workshop_2;Dwarf Workshops;;;;;;;;;;;;;x
ca_dwarf_workshop_3;Dwarf Workshops;;;;;;;;;;;;;x
ca_dwarf_workshop_4;Dwarf Workshops;;;;;;;;;;;;;x
ca_dwarf_workshop_5;Dwarf Workshops;;;;;;;;;;;;;x
ca_dwarf_mine_1;Dwarf Mines;;;;;;;;;;;;;x
ca_dwarf_mine_1_desc;Exploratory mine shafts provide small amounts of valuable metal ores and stone.;;;;;;;;;;;;;x
ca_dwarf_mine_2;Dwarf Mines;;;;;;;;;;;;;x
ca_dwarf_mine_3;Dwarf Mines;;;;;;;;;;;;;x
ca_dwarf_mine_4;Dwarf Mines;;;;;;;;;;;;;x
ca_dwarf_mine_5;Dwarf Mines;;;;;;;;;;;;;x
ca_dwarf_missile_1;Dwarf Missile Range;;;;;;;;;;;;;x
ca_dwarf_missile_1_desc;Quarrellers practice their aim at this firing range.;;;;;;;;;;;;;x
ca_dwarf_missile_2;Dwarf Missile Range;;;;;;;;;;;;;x
ca_dwarf_missile_3;Dwarf Missile Range;;;;;;;;;;;;;x
ca_dwarf_missile_4;Dwarf Missile Range;;;;;;;;;;;;;x
ca_dwarf_missile_5;Dwarf Missile Range;;;;;;;;;;;;;x
ca_dwarf_temple_1;Ancestor Shrine;;;;;;;;;;;;;x
ca_dwarf_temple_1_desc;A shrine to the ancestors is a necessity for any dwarf hold.;;;;;;;;;;;;;x
ca_dwarf_temple_2;Ancestor Shrine;;;;;;;;;;;;;x
ca_dwarf_temple_3;Ancestor Shrine;;;;;;;;;;;;;x
ca_dwarf_temple_4;Ancestor Shrine;;;;;;;;;;;;;x
ca_dwarf_temple_5;Ancestor Shrine;;;;;;;;;;;;;x
ca_mine_1;Surface Mine;;;;;;;;;;;;;x
ca_mine_1_desc;This dwarf mine is very close to the surface, mining the most easily accessible ores.;;;;;;;;;;;;;x
ca_mine_2;Copper Mine;;;;;;;;;;;;;x
ca_mine_2_desc;Copper mines are valuable, and the ores are still found quite close to the surface.;;;;;;;;;;;;;x
ca_mine_3;Silver Mine;;;;;;;;;;;;;x
ca_mine_3_desc;This mine has reached a deep vein of silver, and the dwarfs are busily digging deeper to access more deposits.;;;;;;;;;;;;;x
ca_mine_4;Gold Mine;;;;;;;;;;;;;x
ca_mine_4_desc;These dwarfs have struck rich deposits of gold and other precious metals! Although not particularly useful, gold, silver and platinum can be used to trade with other holds or surface civilisations, and craft many prestigious works of artistic metalwork.;;;;;;;;;;;;;x
ca_mine_5;Deep Mine;;;;;;;;;;;;;x
ca_mine_5_desc;Deep beneath the surface, precious stones and rare metals are to be found in abundance for those willing to risk the danger.;;;;;;;;;;;;;x
ca_mine_6;Gromril Mine;;;;;;;;;;;;;x
ca_mine_6_desc;Deep in the depths of the earth, Gromril can be found. Easy to forge, yet nigh unbreakable once crafted, it is the most rare and valuable metal in the world. The lust for Gromril has been the undoing of many dwarf realms as they dug too deep and disturbed the many foul creatures that lurk below in the lightless caverns.;;;;;;;;;;;;;x
ca_dwarfhold_1;Dwarf Hold;;;;;;;;;;;;;x
ca_dwarfhold_1_desc;Dwarf holds are typically near-impregnable, being fortified both above ground and underground and crafted by the most skilled stone masons of the known world. During sieges they are typically supplied from the vast underground network of deep roads which run below the surface, making it even harder to take one of these holds unless it is by a truly overwhelming direct assault.;;;;;;;;;;;;;x
tr_toolmaker_guild_1;Small Toolmakers Guildpost;;;;;;;;;;;;;x
tr_toolmaker_guild_2;Toolmakers Guild;;;;;;;;;;;;;x
tr_toolmaker_guild_3;Huge Toolmakers Guild Hall;;;;;;;;;;;;;x
tr_toolmaker_guild_1_desc;The Toolmakers guild makes up one of a number of influential and all-important Dwarf guilds. Specialising in the art of tool crafting the finest picks, axes, and any other tools and utensils once can think of, establishing a guild presence here would vastly increase our worker's ability to construct and repair our holds.;;;;;;;;;;;;;x
tr_jewelsmith_guild_1;Small Jewelsmiths Guildpost;;;;;;;;;;;;;x
tr_jewelsmith_guild_2;Jewelsmiths Guild;;;;;;;;;;;;;x
tr_jewelsmith_guild_3;Huge Jewelsmiths Guild Hall;;;;;;;;;;;;;x
tr_jewelsmith_guild_1_desc;The Jewelsmiths guild makes up one of a number of influential and all-important Dwarf guilds. Specialising in gemcutting and making fine jewelry, the jewelsmiths guild is arguably one of the most wealthiest of all Dwarf guilds, with their wares and works being sold all across the world for exorbitant prices. Establishing a guild presence here would greatly increase the wealth of our holds and the underway trade that connects them.;;;;;;;;;;;;;x
tr_brewers_guild_1;Small Brewers Guildpost;;;;;;;;;;;;;x
tr_brewers_guild_2;Brewers Guild;;;;;;;;;;;;;x
tr_brewers_guild_3;Huge Brewers Guild Hall;;;;;;;;;;;;;x
tr_brewers_guild_1_desc;The Brewers guild is the strongest and most influential guild in all of the Karaz-Ankor, with many great brewmasters being revered so highly they may as well be part of the ancestor gods pantheon. Specialising in the fine art of brewing ales and beers, the brewers guild and it's members have the utmost respect from the other Dwarfs, and establishing a guild here would help attract younger Dwarfs looking for a home, and help keep our people well stocked on beers and ales!;;;;;;;;;;;;;x
tr_weaponsmithy_guild_1;Small Weapon-Armorsmithys Guildpost;;;;;;;;;;;;;x
tr_weaponsmithy_guild_2;Weapon-Armorsmithys Guild;;;;;;;;;;;;;x
tr_weaponsmithy_guild_3;Huge Weapon-Armorsmithys Guild Hall;;;;;;;;;;;;;x
tr_weaponsmithy_guild_1_desc;The Weaponsmithy and Armorsmithys guild make up two of a number of influential and all-important Dwarf guilds. Specialising in weapon and armor making, these guilds have earned a comfy spot on the Dwarfen guild hierarchy, and establishing a guild presence here would allow our soldiers from the local holds to field superior troops.;;;;;;;;;;;;;x
tr_alddrakkbar_1;Decrepit Ald-Drakk-Bar;;;;;;;;;;;;;x
tr_alddrakkbar_2;Refurbished Ald-Drakk-Bar;;;;;;;;;;;;;x
tr_alddrakkbar_3;Opulant Ald-Drakk-Bar;;;;;;;;;;;;;x
tr_alddrakkbar_1_desc;The Ald-Drakk-Bar are a series of ancient fortifications located in the Norscan mountains. Likely built by the original Dwarf settlers when they first arrived in Norsca, these gates protect choke-points and important holds from harm.;;;;;;;;;;;;;x
ca_dwarf_outer_fort_1_desc;Though the greater part of a Dwarf hold is mostly underground, there are plenty of defensive surface structures as well, all connected to the main hold through tunnels. These include gatehouses, lookout towers and trenches.;;;;;;;;;;;;x
ca_dwarf_outer_fort_1;Outer Hold Fortifications;;;;;;;;;;;;x
ca_dwarf_outer_fort_2;Outer Hold Fortifications;;;;;;;;;;;;x
ca_dwarf_outer_fort_3;Outer Hold Fortifications;;;;;;;;;;;;x
ca_dwarf_outer_fort_4;Outer Hold Fortifications;;;;;;;;;;;;x
ca_dwarf_outer_fort_5;Outer Hold Fortifications;;;;;;;;;;;;x
ca_dwarf_outer_fort_6;Outer Hold Fortifications;;;;;;;;;;;;x
ca_dwarf_hold_1_desc;The heart of every Dwarf realm is the Hold, a well-protected fortress settlement, which is centered in a system of halls, chambers, and defensive barriers, usually located within the interior of a mountain.;;;;;;;;;;;;x
ca_dwarf_hold_1;Dwarf Hold;;;;;;;;;;;;x
ca_dwarf_hold_2;Dwarf Hold;;;;;;;;;;;;x
ca_dwarf_hold_3;Dwarf Hold;;;;;;;;;;;;x
ca_dwarf_hold_4;Dwarf Hold;;;;;;;;;;;;x
ca_dwarf_hold_5;Dwarf Hold;;;;;;;;;;;;x
ca_dwarf_hold_6;Dwarf Hold;;;;;;;;;;;;x
ca_dwarf_clan_halls_1_desc;The bulk of Dwarf forces is formed by warriors, and the quarrellers, armed with powerful crossbows. In times of war, the leaders of each clan call the muster, and any Dwarf old enough to fight form into regiments. Most of them are craftsmen, miners and stone-carvers, but when any of them dons their armour and weapons, warfare becomes their only calling.;;;;;;;;;;;;x
ca_dwarf_clan_halls_1;Clan Barracks;;;;;;;;;;;;x
ca_dwarf_clan_halls_2;Clan Barracks;;;;;;;;;;;;x
ca_dwarf_clan_halls_3;Clan Barracks;;;;;;;;;;;;x
ca_dwarf_clan_halls_4;Clan Barracks;;;;;;;;;;;;x
ca_dwarf_guild_halls_1_desc;The Guild Workshops are the manufacturing and mercantile centre of all Dwarf Holds, as they attract artisans and merchants from all over the world, Dwarf or otherwise. Often, these places draw in younger, less conservative Dwarfs of lesser clans, which sees the introduction and eventual acceptance of new technologies.;;;;;;;;;;;;x
ca_dwarf_guild_halls_1;Guild Workshops;;;;;;;;;;;;x
ca_dwarf_guild_halls_2;Guild Workshops;;;;;;;;;;;;x
ca_dwarf_guild_halls_3;Guild Workshops;;;;;;;;;;;;x
ca_dwarf_guild_halls_4;Guild Workshops;;;;;;;;;;;;x
ca_dwarf_guild_halls_5;Guild Workshops;;;;;;;;;;;;x
ca_dwarf_guild_halls_6;Guild Workshops;;;;;;;;;;;;x
ca_dwarf_halls_1_desc;This is where the rulers of the Dwarf Hold reside, along with their personal guard, servants, and the most esteemed clan and guild members. They're filled with finely hewn stone and beautiful gems. They have many chambers, to inspire awe and admiration in visitors and vassals alike.;;;;;;;;;;;;x
ca_dwarf_halls_2_desc;These halls contain finely engraved walls with the most interesting stories to tell anyone patient enough to study them all. Everything from the legendary battles of the War of Vengeance to the fierce battles during the goblin wars are depicted with such detail you'd swear it was alive.;;;;;;;;;;;;x
ca_dwarf_halls_3_desc;These halls are filled with an enormous networks of chambers and filled with some of the most finest examples of Dwarf stonework. They show the splendour and magnificence of the Dwarf race and inspiring awe in all who view them.;;;;;;;;;;;;x
ca_dwarf_smithy_1_desc;You can expect to find a forge in every Dwarf Hold, no matter how small. The Dwarfs are the best metalworkers in the known world and parts of that excellence in metalworks can be seen even in the smallest of smithies.;;;;;;;;;;;;x
ca_dwarf_smithy_2_desc;A medium sized smithy producing mainly axes and hammers for the Dwarf warriors. If it weren't for the high quality weapons that the Dwarf smiths make so would there be no Dwarf realms left. The Dwarf smiths know that and they bear that responsibility with pride.;;;;;;;;;;;;x
ca_dwarf_smithy_3_desc;Few enemies have the courage to face the Dwarfs on the battlefield when they are in their famous shieldwall. Other than the extreme fierceness that the Dwarfs shows in battle so are the high quality armor an important part in not breaking the formation which is the only way to beat the Dwarfs on the battlefield. There is a reason why Dwarf shields rarely turn into splinter.;;;;;;;;;;;;x
ca_dwarf_smithy_4_desc;These huge complex smithies involves hundreds of metalworkers all devoted to the production of the weapons that the Dwarfs are so proud of.;;;;;;;;;;;;x
ca_dwarf_halls_1;Royal Clan Halls;;;;;;;;;;;;x
ca_dwarf_halls_2;Royal Clan Halls;;;;;;;;;;;;x
ca_dwarf_halls_3;Royal Clan Halls;;;;;;;;;;;;x
ca_dwarf_smithy_1;Dwarf Forges;;;;;;;;;;;;x
ca_dwarf_smithy_2;Dwarf Forges;;;;;;;;;;;;x
ca_dwarf_smithy_3;Dwarf Forges;;;;;;;;;;;;x
ca_dwarf_smithy_4;Dwarf Forges;;;;;;;;;;;;x
ca_dwarf_engineers_thunderers_1_desc;Dwarf handgunners, known as Thunderers, they usually stand in close ranks and methodically fire round after round. Dwarf handguns are much more precise and less prone to misfires than their Human counterparts, and as such, the handgun is quickly becoming much more popular than the crossbow in Dwarf armies. Most Thunderers craft their own guns, each one trying to outdo the others on who has made the most precise of handguns.;;;;;;;;;;;;x
ca_dwarf_engineers_thunderers_1;Thunderer Range;;;;;;;;;;;;x
ca_dwarf_engineers_thunderers_2;Thunderer Range;;;;;;;;;;;;x
ca_dwarf_engineers_thunderers_3;Thunderer Range;;;;;;;;;;;;x
ca_dwarf_engineers_thunderers_4;Thunderer Range;;;;;;;;;;;;x
ca_dwarf_shipyard_1;Dwarf Shipyard;;;;;;;;x
ca_dwarf_shipyard_2;Dwarf Shipyard;;;;;;;;x
ca_dwarf_shipyard_3;Dwarf Shipyard;;;;;;;;x
ca_dwarf_shipyard_4;Dwarf Shipyard;;;;;;;;x
ca_dwarf_shipyard_desc;The Dwarfs are masters of steamworks and metallurgy, and their fleets reflect this fact. Dwarf Ships are massive armored hulks, protected by layers of steel forged in the greatest of foundries. Each ships also transports many spare parts and a crew of Engineers in case repairs are needed in the high sea, as well as trade goods.;;;;;;;;x
ct_dwarf_outer_fort_1_desc;The minor holds and trading outposts of a Dwarf Guild are not as heavily fortified as a proper Karak, but their surface watchtowers and draw bridges still make for formidable defenses.;;;;;;;;;;;;x
ct_dwarf_outer_fort_1;Guild Watchtowers;;;;;;;;;;;;x
ct_dwarf_outer_fort_2;Guild Watchtowers;;;;;;;;;;;;x
ct_dwarf_outer_fort_3;Guild Watchtowers;;;;;;;;;;;;x
ct_dwarf_outer_fort_4;Guild Watchtowers;;;;;;;;;;;;x
ct_dwarf_outer_fort_5;Guild Watchtowers;;;;;;;;;;;;x
ct_dwarf_outer_fort_6;Guild Watchtowers;;;;;;;;;;;;x
ct_dwarf_hold_1_desc;Many minor outposts and settlements all across Karak Ankor are claimed by various Dwarf Guilds. These Guild Holds are not as fortified as the mighty Karaks of the noble Clans, and are usually full of young, enterprising Dwarfs seeking to make a name for themselves.;;;;;;;;;;;;x
ct_dwarf_hold_1;Guild Hold;;;;;;;;;;;;x
ct_dwarf_hold_2;Guild Hold;;;;;;;;;;;;x
ct_dwarf_hold_3;Guild Hold;;;;;;;;;;;;x
ct_dwarf_hold_4;Guild Hold;;;;;;;;;;;;x
ct_dwarf_hold_5;Guild Hold;;;;;;;;;;;;x
ct_dwarf_hold_6;Guild Hold;;;;;;;;;;;;x
ct_dwarf_clan_halls_1_desc;Even if their calling is not the art of war, every Dwarf has a warrior’s spirit, and even the lowest miners and metalsmiths will take up arms to defend their Guild’s honor at any cost.;;;;;;;;;;;;x
ct_dwarf_clan_halls_1;Guild Muster;;;;;;;;;;;;x
ct_dwarf_clan_halls_2;Guild Muster;;;;;;;;;;;;x
ct_dwarf_clan_halls_3;Guild Muster;;;;;;;;;;;;x
ct_dwarf_clan_halls_4;Guild Muster;;;;;;;;;;;;x
ct_dwarf_clan_halls_5;Guild Muster;;;;;;;;;;;;x
ct_dwarf_guild_halls_1_desc;The Guild Holds have special areas in the higher deeps that receive goods from all over the Karaz Ankor. These depots are effectively inland ports, acting as offloading areas for trade caravans bringing in hops, goats, leather, and bolts of cloth, gems, ores as well as various other merchandise;;;;;;;;;;;;x
ct_dwarf_guild_halls_1;Trade Depots;;;;;;;;;;;;x
ct_dwarf_guild_halls_2;Trade Depots;;;;;;;;;;;;x
ct_dwarf_guild_halls_3;Trade Depots;;;;;;;;;;;;x
ct_dwarf_guild_halls_4;Trade Depots;;;;;;;;;;;;x
ct_dwarf_guild_halls_5;Trade Depots;;;;;;;;;;;;x
ct_dwarf_guild_halls_6;Trade Depots;;;;;;;;;;;;x
ct_dwarf_smithy_1_desc;If Dwarfs are the undisputed masters of smithing, then the Metalsmiths’ Guild are the greatest among them. Deep in the Guild Holds are foundries of these master smiths, containing great furnaces that burn hotter than the stars. The armour and weapons crafted here is amongst the finest – if not the finest - craftsmanship in the Old World.;;;;;;;;;;;;x
ct_dwarf_smithy_1;Guild Foundries;;;;;;;;;;;;x
ct_dwarf_smithy_2;Guild Foundries;;;;;;;;;;;;x
ct_dwarf_smithy_3;Guild Foundries;;;;;;;;;;;;x
ct_dwarf_smithy_4;Guild Foundries;;;;;;;;;;;;x
ct_dwarf_ranges_1_desc;Though the Dwarfs are known for their mastery in stoneworking and metalworking, they’re also excellent carpenters. Here the Carpenters’ Guild fashions weapons like crossbows or the mighty Grudge Throwers. They’re also known to perform as Quarrelers whenever the need to defend the Guild Hold arises.;;;;;;;;;;;;x
ct_dwarf_ranges_1;Siege Workshops;;;;;;;;;;;;x
ct_dwarf_ranges_2;Siege Workshops;;;;;;;;;;;;x
ct_dwarf_ranges_3;Siege Workshops;;;;;;;;;;;;x
ct_dwarf_ranges_4;Siege Workshops;;;;;;;;;;;;x
