#Dwardin Thanehold Line

1350 = {
	name = Durak
	father=53517
	540.12.12 = {birth = yes}
	818.9.1 = {death = {death_reason = death_battle}}
	}
	
	53519 = {
	name = Gottri
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 8
	stewardship = 4
	intrigue = 7
	learning = 6
	add_trait = creature_dwarf
	add_trait = elusive_shadow
	add_trait = diligent
	add_trait = gluttonous
	add_trait = greedy
	add_trait = ambitious
	father=53518
	588.3.23 = {birth = yes}
	915.2.8 = {death = {death_reason = death_battle}}
	}
	
	53520 = {
	name = Belegar
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 4
	stewardship = 8
	intrigue = 7
	learning = 7
	add_trait = creature_dwarf
	add_trait = indulgent_wastrel
	add_trait = slothful
	add_trait = temperate
	add_trait = cruel
	add_trait = patient
	add_trait = gregarious
	father=53519
	673.6.11 = {birth = yes}
	1023.7.1 = {death = {death_reason = death_battle}}
	}
	
	53521 = {
	name = Skaldor
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 8
	diplomacy = 7
	stewardship = 5
	intrigue = 7
	learning = 4
	add_trait = creature_dwarf
	add_trait = indulgent_wastrel
	add_trait = hedonist
	add_trait = diligent
	add_trait = paranoid
	add_trait = cynical
	father=53520
	830.7.14 = {birth = yes}
	1185.7.18 = {death = {death_reason = death_battle}}
	}
	
	53522 = {
	name = Durgin
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 8
	stewardship = 5
	intrigue = 5
	learning = 8
	add_trait = creature_dwarf
	add_trait = martial_cleric
	add_trait = craven
	add_trait = zealous
	add_trait = humble
	add_trait = trusting
	add_trait = greedy
	father=53521
	908.8.15 = {birth = yes}
	1277.9.21 = {death = {death_reason = death_battle}}
	}
	
	53523 = {
	name = Ulther
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 4
	diplomacy = 6
	stewardship = 5
	intrigue = 5
	learning = 6
	add_trait = creature_dwarf
	add_trait = skilled_tactician
	add_trait = cynical
	add_trait = brave
	add_trait = proud
	add_trait = lustful
	father=53522
	1010.7.17 = {birth = yes}
	1346.2.2 = {death = {death_reason = death_battle}}
	}
	
	53524 = {
	name = Kettri
	dynasty = 75410
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 6
	stewardship = 4
	intrigue = 4
	learning = 5
	add_trait = creature_dwarf
	add_trait = detached_priest
	add_trait = duelist
	add_trait = humble
	add_trait = arbitrary
	father=53523
	1073.12.5 = {birth = yes}
	1431.9.19 = {death = yes}
	}
#Line of Thorgrim Grudgebearer Durazklad High Kings

53079 = {
	name = Balun
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 8
	stewardship = 4
	intrigue = 3
	learning = 2
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53009
	mother = 53270
	1895.9.26 = {birth = yes}
	2324.4.14 = {death = yes}
	}
	
	53080 = {
	name = Grindol
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53122
	1723.9.26 = {birth = yes}
	2223.9.26 = {death = yes}
	}
	
	53081 = {
	name = Elmador
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53082
	487.9.26 = {birth = yes}
	920.4.14 = {death = yes}
	}
	
	53082 = {
	name = Finn
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53109
	414.9.26 = {birth = yes}
	621.9.26 = {give_nickname = nick_sourscowl}
	755.4.14 = {death = yes}
	}
	
	53083 = {
	name = Kurgan
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53105
	326.9.26 = {birth = yes}
	342.9.26 = {give_nickname = nick_ironbeard}
	343.4.14 = {death = yes}
	}
	
	53084 = {
	name = Logan
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53102
	262.9.26 = {birth = yes}
	278.9.26 = {give_nickname = nick_proudbeard}
	279.4.14 = {death = yes}
	}
	
	53085 = {
	name = Yorri
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53098
	181.9.26 = {birth = yes}
	197.9.26 = {give_nickname = nick_stormcrow}
	198.4.14 = {death = yes}
	}
	
	53086 = {
	name = Morgrim
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53096
	133.9.26 = {birth = yes}
	149.9.26 = {give_nickname = nick_blackbeard}
	150.4.14 = {death = yes}
	}
	
	53087 = {
	name = Snorri
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53088
	116.9.26 = {birth = yes}
	132.9.26 = {give_nickname = nick_halfhand}
	133.4.14 = {death = {death_reason = death_battle}}
	}
	
	53088 = {
	name = Gotrek
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53094
	99.9.26 = {birth = yes}
	116.9.26 = {give_nickname = nick_starbreaker}
	117.4.14 = {death = yes}
	}
	
	53089 = {
	name = Snorri
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 35
	diplomacy = 20
	stewardship = 20
	intrigue = 12
	learning = 15
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = temperate
	add_trait = chaste
	1.9.26 = {birth = yes}
	17.5.7 = {give_nickname = nick_whitebeard}
	20.4.14 = {death = yes}
	}
	
	53090 = {
	name = Thorik
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 14
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 5
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = temperate
	add_trait = chaste
	father=53089
	17.8.23 = {birth = yes}
	34.7.12 = {death = yes}
	}
	
	53091 = {
	name = Gorim
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = temperate
	add_trait = chaste
	father=53090
	33.2.14 = {birth = yes}
	50.8.3 = {give_nickname = nick_ironhammer}
	51.3.21 = {death = yes}
	}
	
	53092 = {
	name = Vikram
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53091
	50.6.8 = {birth = yes}
	67.3.22 = {death = yes}
	}
	
	53093 = {
	name = Kallon
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53092
	66.4.25 = {birth = yes}
	83.4.7 = {death = yes}
	}
	
	53094 = {
	name = Gurni
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53093
	82.9.26 = {birth = yes}
	99.9.26 = {give_nickname = nick_hammerfist}
	101.4.14 = {death = yes}
	}
	
	53095 = {
	name = Thorik
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53094
	100.9.26 = {birth = yes}
	118.1.20 = {death = yes}
	}
	
	53096 = {
	name = Morgrim #Elgidum
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = duelist
	add_trait = tough_soldier
	add_trait = strong
	add_trait = wroth
	add_trait = stubborn
	father=53095
	117.9.26 = {birth = yes}
	133.9.26 = {
		give_nickname = nick_elgidum
		create_bloodline = {
			type = morgrim_elgidum
			has_dlc = "Holy Fury"
		}
	}
	134.4.14 = {death = yes}
	}
	
	53097 = {
	name = Dwinbar
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53086
	149.9.26 = {birth = yes}
	166.4.14 = {death = yes}
	}
	
	53098 = {
	name = Zamnil
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53097
	165.9.26 = {birth = yes}
	181.9.26 = {give_nickname = nick_irongrip}
	182.4.14 = {death = yes}
	}
	
	53099 = {
	name = Maldrek
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53085
	197.9.26 = {birth = yes}
	213.9.26 = {give_nickname = nick_stoneanvil}
	214.4.14 = {death = yes}
	}
	
	53100 = {
	name = Olin
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53099
	213.9.26 = {birth = yes}
	230.4.14 = {death = yes}
	}
	
	53101 = {
	name = Enik
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53100
	229.9.26 = {birth = yes}
	246.4.14 = {death = yes}
	}
	
	53102 = {
	name = Kazgar
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53101
	245.9.26 = {birth = yes}
	262.4.14 = {death = yes}
	}
	
	53103 = {
	name = Gundrun
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53084
	278.9.26 = {birth = yes}
	294.9.26 = {give_nickname = nick_blueaxe}
	295.4.14 = {death = yes}
	}
	
	53104 = {
	name = Hagred
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53103
	294.9.26 = {birth = yes}
	311.4.14 = {death = yes}
	}
	
	53105 = {
	name = Norgrim
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53104
	310.9.26 = {birth = yes}
	326.9.26 = {give_nickname = nick_sharpedge}
	327.4.14 = {death = yes}
	}
	
	53106 = {
	name = Grom
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53083
	342.9.26 = {birth = yes}
	361.4.14 = {death = yes}
	}
	
	53107 = {
	name = Rorek
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53106
	359.9.26 = {birth = yes}
	377.9.26 = {give_nickname = nick_scarface}
	402.4.14 = {death = yes}
	}
	
	53108 = {
	name = Skag
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53106
	360.9.26 = {birth = yes}
	391.9.26 = {give_nickname = nick_ironhelm}
	498.4.14 = {death = yes}
	}
	
	53109 = {
	name = Duregar
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 5
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53108
	383.9.26 = {birth = yes}
	572.9.26 = {give_nickname = nick_giftgiver}
	604.4.14 = {death = yes}
	}
	
	53110 = {
	name = Oldor
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53082
	523.9.26 = {birth = yes}
	968.4.14 = {death = yes}
	}
	
	53111 = {
	name = Mordin
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53081
	567.9.26 = {birth = yes}
	728.9.26 = {give_nickname = nick_axehelm}
	995.4.14 = {death = yes}
	}
	
	53112 = {
	name = Snorri
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53111
	711.9.26 = {birth = yes}
	1112.4.14 = {death = {death_reason = death_natural}}
	}
	
	53113 = {
	name = Gorim
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53112
	846.9.26 = {birth = yes}
	1252.4.14 = {death = yes}
	}
	
	53114 = {
	name = Thungni
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53113
	1035.9.26 = {birth = yes}
	1277.9.26 = {give_nickname = nick_oath_holder}
	1368.4.14 = {death = yes}
	}
	
	53115 = {
	name = Haakon
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53114
	1117.9.26 = {birth = yes}
	1364.9.26 = {give_nickname = nick_orcbane}
	1440.4.14 = {death = yes}
	}
	
	53116 = {
	name = Grundhar
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53115
	1268.9.26 = {birth = yes}
	1452.9.26 = {give_nickname = nick_bronze_bandages}
	1360.1.1={immortal_age=90}
	1532.4.14 = {death = yes}
	}
	
	53117 = {
	name = Hargrem
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53116
	1426.9.26 = {birth = yes}
	1557.9.26 = {give_nickname = nick_greybeard}
	1630.4.14 = {death = yes}
	}
	
	53118 = {
	name = Gottri
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53117
	1492.9.26 = {birth = yes}
	1604.9.26 = {give_nickname = nick_strongwill}
	1707.4.14 = {death = yes}
	}
	
	53119 = {
	name = Kendrak
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53118
	1564.9.26 = {birth = yes}
	1810.4.14 = {death = yes}
	}
	
	53120 = {
	name = Ulther
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53119
	1585.9.26 = {birth = yes}
	1870.4.14 = {death = yes}
	}
	
	53121 = {
	name = Bardin
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53120
	1647.9.26 = {birth = yes}
	1972.4.14 = {death = yes}
	}
	
	53122 = {
	name = Mardin
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 7
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = mystic
	add_trait = grey_eminence
	add_trait = tall
	add_trait = temperate
	add_trait = chaste
	father=53120
	1672.9.26 = {birth = yes}
	1826.4.14 = {death = yes}
	}
	
	53123 = {
	name = Vanyra
	female = yes
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 15
	diplomacy = 7
	stewardship = 6
	intrigue = 5
	learning = 3
	add_trait = creature_dwarf
	add_trait = brave
	father=53009
	mother = 53270
	1902.9.26 = {birth = yes}
	1942.6.18 = {add_spouse = 1375} 
	2387.4.14 = {death = yes}
	}
	
	53124 = {
	name = Enlag
	dynasty = 75000
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 10
	diplomacy = 7
	stewardship = 7
	intrigue = 3
	learning = 1
	add_trait = creature_dwarf
	add_trait = temperate
	add_trait = cruel
	father=53080
	1840.1.3 = {birth = yes}
	1885.6.18 = {add_spouse = 53228}
	2222.4.20 = {death = yes}
	}

	53009 = {
		name = Alrik
		dynasty = 75000
		culture = dwarf_old
		religion = ancestor_gods
		dna = cliagubdabs
		properties = ag00eb000000
		martial = 10
		diplomacy = 8
		stewardship = 10
		intrigue = 8
		learning = 9
		add_trait = creature_dwarf
		add_trait = skilled_tactician
		add_trait = lisp
		father=53080
		1824.1.3 = {birth = yes
		culture = dwarf_karak}
		1972.4.14={effect={
		add_artifact = axe_grimnir_thorgrim
		add_artifact = armour_skaldour_thorgrim
		add_artifact = dragon_crown_karaz
		add_artifact = great_book_grudges
		add_artifact = throne_power_thorgrim
		}}
		1946.9.26 = {give_nickname = nick_deathdealer}
		2205.4.20 = {death = yes}
	}
	1359 = {
		name = Helgar
		female = yes
		dynasty = 75035
		culture = dwarf_karak
		religion = ancestor_gods
		martial = 1
		diplomacy = 4
		stewardship = 9
		intrigue = 5
		learning = 7
		add_trait = creature_dwarf
		add_trait = hunter
		add_trait = indulgent_wastrel
		add_trait = strong
		add_trait = diligent
		add_trait = proud
		add_trait = fair
		father=1361
		1868.2.23 = {birth = yes}
		1894.7.10 = {add_spouse = 1353}
		2192.11.12 = {death = yes}
		}
		#Stromez Zorn
		1361 = {
		name = Skalli
		dynasty = 75035
		culture = dwarf_karak
		religion = ancestor_gods
		martial = 1
		diplomacy = 4
		stewardship = 9
		intrigue = 5
		learning = 7
		add_trait = creature_dwarf
		add_trait = hunter
		add_trait = indulgent_wastrel
		add_trait = strong
		add_trait = diligent
		add_trait = proud
		1827.1.23 = {birth = yes}
		2139.11.12 = {death = yes}
		}
		1362 = {
		name = Freda
		female = yes
		dynasty = 75035
		culture = dwarf_karak
		religion = ancestor_gods
		martial = 1
		diplomacy = 4
		stewardship = 9
		intrigue = 5
		learning = 7
		add_trait = creature_dwarf
		add_trait = hunter
		add_trait = indulgent_wastrel
		add_trait = strong
		add_trait = diligent
		add_trait = proud
		add_trait = fair
		father=1361
		1862.11.7 = {birth = yes}
		1888.4.9 = {add_spouse = 53263}
		2192.3.24 = {death = yes}
		}
	53405 = {
		name = Rogni
		dynasty = 75394
		culture = dwarf_karak
		religion = ancestor_gods
		martial = 6
		diplomacy = 8
		stewardship = 10
		intrigue = 1
		learning = 1
		add_trait = creature_dwarf
		add_trait = temperate
		add_trait = chaste
		1923.4.13 = {birth = yes}
		2281.9.22 = {death = yes}
	}
	1321 = {
		name = Falgrim
		dynasty = 75279
		culture = dwarf_karak
		religion = ancestor_gods
		martial = 2
		diplomacy = 7
		stewardship = 3
		intrigue = 5
		learning = 1
		add_trait = creature_dwarf
		add_trait = falconer
		add_trait = detached_priest
		add_trait = slothful
		add_trait = shy
		1978.12.11 = {birth = yes}
		2061.3.19 = {death = yes}
	}
	53674 = { #the Grim
	name = Kragg
	culture = dwarf_old
	culture = dwarf_karak
	religion = ancestor_gods
	martial = 6
	diplomacy = 6
	stewardship = 10
	intrigue = 6
	learning = 8
	add_trait = creature_dwarf
	add_trait = martial_cleric
	add_trait = ambitious
	add_trait = erudite
	add_trait = paranoid
	add_trait = shy
	add_trait = temperate
	add_trait = runelord
	1511.7.4 = {birth = yes}
	2000.1.1 = {employer = 53009}
	2560.8.15 = {death = yes}
	}
